0.8,0.8,0.17
1.6,0.8,0.17
2.4,0.8,0.17
3.2,0.8,0.17
4,0.8,0.17
0.8,1.6,0.17
1.6,1.6,0.17
2.4,1.6,0.17
3.2,1.6,0.17
4,1.6,0.17
0.8,2.4,0.17
1.6,2.4,0.17
2.4,2.4,0.17
3.2,2.4,0.17
4,2.4,0.17
0.8,3.2,0.17
1.6,3.2,0.17
2.4,3.2,0.17
3.2,3.2,0.17
4,3.2,0.17
0.8,4,0.17
1.6,4,0.17
2.4,4,0.17
3.2,4,0.17
4,4,0.17
0.8,0.8,0.37
1.6,0.8,0.37
2.4,0.8,0.37
3.2,0.8,0.37
4,0.8,0.37
0.8,1.6,0.37
1.6,1.6,0.37
2.4,1.6,0.37
3.2,1.6,0.37
4,1.6,0.37
0.8,2.4,0.37
1.6,2.4,0.37
2.4,2.4,0.37
3.2,2.4,0.37
4,2.4,0.37
0.8,3.2,0.37
1.6,3.2,0.37
2.4,3.2,0.37
3.2,3.2,0.37
4,3.2,0.37
0.8,4,0.37
1.6,4,0.37
2.4,4,0.37
3.2,4,0.37
4,4,0.37
0.8,0.8,0.57
1.6,0.8,0.57
2.4,0.8,0.57
3.2,0.8,0.57
4,0.8,0.57
0.8,1.6,0.57
1.6,1.6,0.57
2.4,1.6,0.57
3.2,1.6,0.57
4,1.6,0.57
0.8,2.4,0.57
1.6,2.4,0.57
2.4,2.4,0.57
3.2,2.4,0.57
4,2.4,0.57
0.8,3.2,0.57
1.6,3.2,0.57
2.4,3.2,0.57
3.2,3.2,0.57
4,3.2,0.57
0.8,4,0.57
1.6,4,0.57
2.4,4,0.57
3.2,4,0.57
4,4,0.57
0.8,0.8,0.77
1.6,0.8,0.77
2.4,0.8,0.77
3.2,0.8,0.77
4,0.8,0.77
0.8,1.6,0.77
1.6,1.6,0.77
2.4,1.6,0.77
3.2,1.6,0.77
4,1.6,0.77
0.8,2.4,0.77
1.6,2.4,0.77
2.4,2.4,0.77
3.2,2.4,0.77
4,2.4,0.77
0.8,3.2,0.77
1.6,3.2,0.77
2.4,3.2,0.77
3.2,3.2,0.77
4,3.2,0.77
0.8,4,0.77
1.6,4,0.77
2.4,4,0.77
3.2,4,0.77
4,4,0.77
0.8,0.8,0.97
1.6,0.8,0.97
2.4,0.8,0.97
3.2,0.8,0.97
4,0.8,0.97
0.8,1.6,0.97
1.6,1.6,0.97
2.4,1.6,0.97
3.2,1.6,0.97
4,1.6,0.97
0.8,2.4,0.97
1.6,2.4,0.97
2.4,2.4,0.97
3.2,2.4,0.97
4,2.4,0.97
0.8,3.2,0.97
1.6,3.2,0.97
2.4,3.2,0.97
3.2,3.2,0.97
4,3.2,0.97
0.8,4,0.97
1.6,4,0.97
2.4,4,0.97
3.2,4,0.97
4,4,0.97
0.8,0.8,1.17
1.6,0.8,1.17
2.4,0.8,1.17
3.2,0.8,1.17
4,0.8,1.17
0.8,1.6,1.17
1.6,1.6,1.17
2.4,1.6,1.17
3.2,1.6,1.17
4,1.6,1.17
0.8,2.4,1.17
1.6,2.4,1.17
2.4,2.4,1.17
3.2,2.4,1.17
4,2.4,1.17
0.8,3.2,1.17
1.6,3.2,1.17
2.4,3.2,1.17
3.2,3.2,1.17
4,3.2,1.17
0.8,4,1.17
1.6,4,1.17
2.4,4,1.17
3.2,4,1.17
4,4,1.17
0.8,0.8,1.37
1.6,0.8,1.37
2.4,0.8,1.37
3.2,0.8,1.37
4,0.8,1.37
0.8,1.6,1.37
1.6,1.6,1.37
2.4,1.6,1.37
3.2,1.6,1.37
4,1.6,1.37
0.8,2.4,1.37
1.6,2.4,1.37
2.4,2.4,1.37
3.2,2.4,1.37
4,2.4,1.37
0.8,3.2,1.37
1.6,3.2,1.37
2.4,3.2,1.37
3.2,3.2,1.37
4,3.2,1.37
0.8,4,1.37
1.6,4,1.37
2.4,4,1.37
3.2,4,1.37
4,4,1.37
0.8,0.8,1.57
1.6,0.8,1.57
2.4,0.8,1.57
3.2,0.8,1.57
4,0.8,1.57
0.8,1.6,1.57
1.6,1.6,1.57
2.4,1.6,1.57
3.2,1.6,1.57
4,1.6,1.57
0.8,2.4,1.57
1.6,2.4,1.57
2.4,2.4,1.57
3.2,2.4,1.57
4,2.4,1.57
0.8,3.2,1.57
1.6,3.2,1.57
2.4,3.2,1.57
3.2,3.2,1.57
4,3.2,1.57
0.8,4,1.57
1.6,4,1.57
2.4,4,1.57
3.2,4,1.57
4,4,1.57
0.8,0.8,1.77
1.6,0.8,1.77
2.4,0.8,1.77
3.2,0.8,1.77
4,0.8,1.77
0.8,1.6,1.77
1.6,1.6,1.77
2.4,1.6,1.77
3.2,1.6,1.77
4,1.6,1.77
0.8,2.4,1.77
1.6,2.4,1.77
2.4,2.4,1.77
3.2,2.4,1.77
4,2.4,1.77
0.8,3.2,1.77
1.6,3.2,1.77
2.4,3.2,1.77
3.2,3.2,1.77
4,3.2,1.77
0.8,4,1.77
1.6,4,1.77
2.4,4,1.77
3.2,4,1.77
4,4,1.77
0.8,0.8,1.97
1.6,0.8,1.97
2.4,0.8,1.97
3.2,0.8,1.97
4,0.8,1.97
0.8,1.6,1.97
1.6,1.6,1.97
2.4,1.6,1.97
3.2,1.6,1.97
4,1.6,1.97
0.8,2.4,1.97
1.6,2.4,1.97
2.4,2.4,1.97
3.2,2.4,1.97
4,2.4,1.97
0.8,3.2,1.97
1.6,3.2,1.97
2.4,3.2,1.97
3.2,3.2,1.97
4,3.2,1.97
0.8,4,1.97
1.6,4,1.97
2.4,4,1.97
3.2,4,1.97
4,4,1.97
0.8,0.8,2.17
1.6,0.8,2.17
2.4,0.8,2.17
3.2,0.8,2.17
4,0.8,2.17
0.8,1.6,2.17
1.6,1.6,2.17
2.4,1.6,2.17
3.2,1.6,2.17
4,1.6,2.17
0.8,2.4,2.17
1.6,2.4,2.17
2.4,2.4,2.17
3.2,2.4,2.17
4,2.4,2.17
0.8,3.2,2.17
1.6,3.2,2.17
2.4,3.2,2.17
3.2,3.2,2.17
4,3.2,2.17
0.8,4,2.17
1.6,4,2.17
2.4,4,2.17
3.2,4,2.17
4,4,2.17
